Date,Adj Close,Close,High,Low,Open,Volume
2023-07-04,20413.400390625,20413.400390625,20577.25,20307.30078125,20373.349609375,1331900
2023-07-05,20246.19921875,20246.19921875,20395.75,20203.55078125,20354.19921875,1023600
2023-07-06,20270.150390625,20270.150390625,20314.400390625,20186.650390625,20210.25,1068300
2023-07-07,20086.900390625,20086.900390625,20246.400390625,20053.44921875,20167.099609375,769800
2023-07-10,20057.30078125,20057.30078125,20175.19921875,20014.099609375,20097.650390625,1031700
2023-07-11,19969.349609375,19969.349609375,20201.94921875,19940.900390625,20112.599609375,1411900
2023-07-12,19924.099609375,19924.099609375,20091.30078125,19893.05078125,20035.94921875,1649300
2023-07-13,20021.5,20021.5,20159.099609375,19991.900390625,20091.19921875,1265300
2023-07-14,20050.5,20050.5,20140.25,19937.400390625,20117.55078125,898900
2023-07-17,20301.25,20301.25,20339.5,19984.599609375,20111.19921875,1020700
2023-07-18,20262.55078125,20262.55078125,20476.25,20208.650390625,20428.30078125,1649800
2023-07-19,20377.30078125,20377.30078125,20388.44921875,20268.150390625,20312.05078125,1013300
2023-07-20,20584.349609375,20584.349609375,20613.0,20319.30078125,20369.5,1436600
2023-07-21,20534.30078125,20534.30078125,20653.44921875,20482.099609375,20531.94921875,1030400
2023-07-24,20502.75,20502.75,20611.349609375,20471.599609375,20574.099609375,1575000
2023-07-25,20530.099609375,20530.099609375,20608.0,20411.400390625,20607.099609375,1463100
2023-07-26,20540.80078125,20540.80078125,20627.30078125,20480.599609375,20560.900390625,880500
2023-07-27,20381.099609375,20381.099609375,20666.599609375,20330.349609375,20656.900390625,2182500
2023-07-28,20298.05078125,20298.05078125,20407.80078125,20195.599609375,20339.80078125,1391300
2023-07-31,20342.05078125,20342.05078125,20363.19921875,20213.349609375,20303.599609375,1137800
2023-08-01,20327.25,20327.25,20382.19921875,20268.349609375,20369.05078125,1281200
2023-08-02,20066.94921875,20066.94921875,20245.400390625,19957.349609375,20172.650390625,1332100
2023-08-03,19832.44921875,19832.44921875,20088.44921875,19731.150390625,20000.05078125,1675800
2023-08-04,19988.55078125,19988.55078125,20043.5,19851.5,19931.099609375,1757100
2023-08-07,20022.599609375,20022.599609375,20077.349609375,19971.099609375,20062.650390625,1660700
2023-08-08,20087.44921875,20087.44921875,20120.900390625,20012.599609375,20048.30078125,2024900
2023-08-09,20044.400390625,20044.400390625,20104.80078125,19908.599609375,20104.80078125,1151000
2023-08-10,19890.900390625,19890.900390625,20066.400390625,19846.650390625,20009.349609375,1451900
2023-08-11,19718.650390625,19718.650390625,19915.69921875,19699.900390625,19913.5,1569900
2023-08-14,19652.5,19652.5,19705.30078125,19527.05078125,19647.099609375,1264100
2023-08-16,19586.099609375,19586.099609375,19610.900390625,19424.19921875,19486.25,0
