Date,Adj Close,Close,High,Low,Open,Volume
2023-04-11,41366.5,41366.5,41403.25,40990.19921875,41232.0,219200
2023-04-12,41557.94921875,41557.94921875,41610.1484375,41332.0,41426.0,143000
2023-04-13,42132.55078125,42132.55078125,42196.19921875,41502.6484375,41680.1015625,232600
2023-04-17,42262.55078125,42262.55078125,42603.55078125,41799.0,42603.55078125,229100
2023-04-18,42265.19921875,42265.19921875,42500.69921875,42114.3515625,42406.94921875,214200
2023-04-19,42154.0,42154.0,42339.8984375,42022.1484375,42280.1015625,170000
2023-04-20,42269.5,42269.5,42378.1484375,42108.8515625,42218.5,180200
2023-04-21,42118.0,42118.0,42382.1484375,41962.3515625,42252.55078125,144100
2023-04-24,42635.75,42635.75,42714.1484375,42269.1015625,42469.94921875,201000
2023-04-25,42678.5,42678.5,42865.55078125,42601.5,42731.6015625,262400
2023-04-26,42829.8984375,42829.8984375,42875.6015625,42432.25,42559.05078125,178000
2023-04-27,43000.8515625,43000.8515625,43043.3984375,42736.6015625,42753.8984375,181400
2023-04-28,43233.8984375,43233.8984375,43302.05078125,42810.3515625,43045.5,238700
2023-05-02,43352.1015625,43352.1015625,43483.8515625,43269.3984375,43395.05078125,241600
2023-05-03,43312.69921875,43312.69921875,43354.94921875,43078.1484375,43154.8515625,175900
2023-05-04,43685.44921875,43685.44921875,43739.80078125,43213.94921875,43236.1015625,175400
2023-05-05,42661.19921875,42661.19921875,43588.0,42582.19921875,43110.6484375,251200
2023-05-08,43284.0,43284.0,43418.55078125,42780.30078125,42796.8515625,223400
2023-05-09,43198.1484375,43198.1484375,43533.25,43125.8515625,43438.55078125,229000
2023-05-10,43331.05078125,43331.05078125,43383.6484375,42822.1484375,43275.25,249100
2023-05-11,43475.30078125,43475.30078125,43774.25,43367.25,43535.1015625,190700
2023-05-12,43793.55078125,43793.55078125,43905.94921875,43347.75,43447.1484375,144900
2023-05-15,44072.1015625,44072.1015625,44151.69921875,43666.6015625,43821.05078125,161300
2023-05-16,43903.69921875,43903.69921875,44144.1484375,43815.69921875,44144.1484375,222500
2023-05-17,43698.69921875,43698.69921875,43992.75,43446.3984375,43948.5,203600
2023-05-18,43752.30078125,43752.30078125,44079.19921875,43673.69921875,44006.8984375,226500
2023-05-19,43969.3984375,43969.3984375,44020.8984375,43531.8984375,43930.0,192000
2023-05-22,43885.1015625,43885.1015625,44026.75,43684.8984375,43935.30078125,183800
2023-05-23,43954.44921875,43954.44921875,44095.25,43852.19921875,43978.8984375,142000
2023-05-24,43677.8515625,43677.8515625,44010.44921875,43639.80078125,43751.94921875,148600
2023-05-25,43681.3984375,43681.3984375,43719.8515625,43390.30078125,43630.25,170200
2023-05-26,44018.0,44018.0,44067.6015625,43588.80078125,43765.3515625,143200
2023-05-29,44311.8984375,44311.8984375,44483.3515625,44193.94921875,44276.80078125,148600
2023-05-30,44436.3515625,44436.3515625,44498.6015625,44207.5,44277.3515625,157600
2023-05-31,44128.1484375,44128.1484375,44339.05078125,43822.69921875,44318.0,305700
2023-06-01,43790.19921875,43790.19921875,44179.94921875,43706.1484375,44172.05078125,182900
2023-06-02,43937.8515625,43937.8515625,44088.8984375,43812.55078125,43997.30078125,123900
2023-06-05,44101.6484375,44101.6484375,44266.1484375,44074.19921875,44103.25,124500
2023-06-06,44164.55078125,44164.55078125,44236.19921875,44009.69921875,44156.69921875,123600
2023-06-07,44275.30078125,44275.30078125,44346.30078125,44143.5,44318.69921875,119200
2023-06-08,43995.25,43995.25,44459.25,43917.8984375,44208.30078125,160200
2023-06-09,43989.0,43989.0,44220.1015625,43932.6015625,44045.75,132300
2023-06-12,43944.19921875,43944.19921875,44124.94921875,43874.05078125,44035.19921875,91400
2023-06-13,44079.8515625,44079.8515625,44138.1484375,43889.69921875,43889.69921875,160000
2023-06-14,43988.0,43988.0,44212.3515625,43956.1484375,44181.6484375,154600
2023-06-15,43443.6015625,43443.6015625,44077.44921875,43397.5,44054.3515625,228200
2023-06-16,43938.1484375,43938.1484375,44083.25,43536.94921875,43583.3515625,234700
2023-06-19,43633.75,43633.75,44040.3515625,43501.3984375,44015.30078125,234900
2023-06-20,43766.5,43766.5,43823.94921875,43345.94921875,43597.55078125,161900
2023-06-21,43859.19921875,43859.19921875,43946.69921875,43698.94921875,43894.3984375,180000
2023-06-22,43724.8515625,43724.8515625,44042.1484375,43663.3515625,43874.80078125,263800
2023-06-23,43622.8984375,43622.8984375,43824.1015625,43519.55078125,43641.6015625,161300
2023-06-26,43641.05078125,43641.05078125,43773.1015625,43541.75,43714.75,120700
2023-06-27,44121.5,44121.5,44194.6484375,43693.1484375,43804.55078125,137300
2023-06-28,44327.80078125,44327.80078125,44508.3984375,44163.19921875,44419.5,243800
2023-06-30,44747.3515625,44747.3515625,44787.1015625,44447.19921875,44666.0,191300
2023-07-03,45158.1015625,45158.1015625,45353.19921875,44882.1015625,44957.94921875,228200
2023-07-04,45301.44921875,45301.44921875,45655.5,45000.25,45310.55078125,463000
2023-07-05,45151.80078125,45151.80078125,45418.8984375,45073.3984375,45169.69921875,366300
2023-07-06,45339.8984375,45339.8984375,45417.5,45042.6015625,45060.55078125,244900
2023-07-07,44925.0,44925.0,45227.25,44844.80078125,45118.05078125,220900
2023-07-10,44860.8515625,44860.8515625,45184.30078125,44721.8984375,44958.6484375,220900
2023-07-11,44745.05078125,44745.05078125,45139.55078125,44663.05078125,44998.0,209000
2023-07-12,44639.44921875,44639.44921875,44937.25,44562.3984375,44872.6015625,233100
2023-07-13,44665.05078125,44665.05078125,45085.1484375,44612.19921875,45009.30078125,336800
2023-07-14,44819.30078125,44819.30078125,44923.8515625,44547.80078125,44860.6484375,196300
2023-07-17,45449.75,45449.75,45556.44921875,44695.05078125,44951.19921875,245900
2023-07-18,45410.8515625,45410.8515625,45905.8515625,45281.30078125,45754.80078125,307300
2023-07-19,45669.30078125,45669.30078125,45707.3984375,45433.0,45622.5,261100
2023-07-20,46186.8984375,46186.8984375,46256.19921875,45640.94921875,45689.05078125,315200
2023-07-21,46075.19921875,46075.19921875,46369.5,45925.8984375,46063.94921875,235600
2023-07-24,45923.05078125,45923.05078125,46191.5,45858.75,46131.8984375,225800
2023-07-25,45845.0,45845.0,46156.1015625,45622.8515625,46154.69921875,228100
2023-07-26,46062.3515625,46062.3515625,46096.6015625,45804.69921875,45935.1484375,298400
2023-07-27,45679.30078125,45679.30078125,46310.1015625,45570.6484375,46285.8515625,320400
2023-07-28,45468.1015625,45468.1015625,45727.75,45238.80078125,45560.8984375,194700
2023-07-31,45651.1015625,45651.1015625,45694.8984375,45359.75,45546.3515625,247900
2023-08-01,45592.5,45592.5,45782.75,45471.05078125,45740.0,175200
2023-08-02,44995.69921875,44995.69921875,45404.8984375,44720.8984375,45234.6484375,233600
2023-08-03,44513.44921875,44513.44921875,45038.44921875,44279.3984375,44862.8515625,245800
2023-08-04,44879.5,44879.5,45118.05078125,44520.55078125,44754.75,245200
2023-08-07,44837.5,44837.5,45011.3515625,44773.8515625,44993.69921875,200800
2023-08-08,44964.44921875,44964.44921875,45096.8515625,44817.8515625,44888.94921875,229400
2023-08-09,44880.69921875,44880.69921875,44975.0,44533.75,44973.44921875,177300
2023-08-10,44541.80078125,44541.80078125,44980.3515625,44418.3984375,44797.6484375,232000
2023-08-11,44199.1015625,44199.1015625,44571.25,44120.8984375,44568.1484375,196900
2023-08-14,44090.94921875,44090.94921875,44212.75,43776.8984375,44066.6015625,172300
2023-08-16,43946.3984375,43946.3984375,44002.80078125,43600.3515625,43726.25,0
2023-08-17,43891.3515625,43891.3515625,44071.8515625,43745.1015625,43897.25,266400
2023-08-18,43851.05078125,43851.05078125,43957.6484375,43672.44921875,43724.75,167600
2023-08-21,44002.0,44002.0,44113.80078125,43862.0,43952.8515625,126300
2023-08-22,43993.25,43993.25,44151.30078125,43938.69921875,44125.0,160700
2023-08-23,44479.05078125,44479.05078125,44521.6484375,43952.05078125,44064.5,212400
2023-08-24,44496.19921875,44496.19921875,44949.8984375,44433.75,44704.19921875,220400
2023-08-25,44231.44921875,44231.44921875,44359.1015625,43983.75,44276.19921875,152500
2023-08-28,44494.6484375,44494.6484375,44610.3984375,44201.44921875,44253.6484375,163000
2023-08-29,44495.25,44495.25,44673.0,44429.80078125,44655.75,140300
2023-08-30,44232.6015625,44232.6015625,44779.6484375,44149.80078125,44706.55078125,153100
2023-08-31,43989.1484375,43989.1484375,44399.6484375,43895.05078125,44265.8515625,705100
2023-09-01,44436.1015625,44436.1015625,44568.55078125,43830.75,43996.1015625,320800
2023-09-04,44578.30078125,44578.30078125,44656.05078125,44310.94921875,44647.6484375,238600
2023-09-05,44532.1484375,44532.1484375,44668.69921875,44401.69921875,44625.05078125,225500
2023-09-06,44409.1015625,44409.1015625,44577.0,44207.25,44494.6484375,252000
2023-09-07,44878.3515625,44878.3515625,44915.55078125,44341.19921875,44418.05078125,169100
2023-09-08,45156.3984375,45156.3984375,45383.3515625,44812.1484375,44953.6484375,179100
2023-09-11,45570.69921875,45570.69921875,45636.19921875,45231.30078125,45340.80078125,228100
2023-09-12,45511.3515625,45511.3515625,45893.80078125,45322.55078125,45893.80078125,271400
2023-09-13,45909.44921875,45909.44921875,45990.5,45299.3984375,45449.3515625,441700
2023-09-14,46000.8515625,46000.8515625,46153.8984375,45801.5,46013.30078125,238600
2023-09-15,46231.5,46231.5,46310.3984375,46028.75,46122.1484375,278400
2023-09-18,45979.8515625,45979.8515625,46252.94921875,45906.8984375,46100.94921875,348800
2023-09-20,45384.6015625,45384.6015625,45745.1484375,45276.3984375,45493.69921875,334000
2023-09-21,44623.8515625,44623.8515625,45276.80078125,44592.44921875,45179.6015625,257700
2023-09-22,44612.05078125,44612.05078125,44996.75,44548.8984375,44707.3515625,249400
2023-09-25,44766.1015625,44766.1015625,44936.55078125,44400.8984375,44615.0,266500
2023-09-26,44624.19921875,44624.19921875,44773.80078125,44532.44921875,44722.5,188500
2023-09-27,44588.30078125,44588.30078125,44668.0,44182.5,44465.8984375,221900
2023-09-28,44300.94921875,44300.94921875,44756.80078125,44248.19921875,44700.3515625,389900
2023-09-29,44584.55078125,44584.55078125,44755.05078125,44344.8984375,44445.3515625,156000
2023-10-03,44399.05078125,44399.05078125,44566.30078125,44243.1015625,44561.5,192600
2023-10-04,43964.05078125,43964.05078125,44161.3515625,43857.5,44108.1484375,310300
2023-10-05,44213.3515625,44213.3515625,44391.8515625,44108.30078125,44181.3515625,243400
2023-10-06,44360.6015625,44360.6015625,44500.69921875,44242.94921875,44395.3984375,157500
2023-10-09,43886.5,43886.5,44113.19921875,43796.75,44057.80078125,162300
2023-10-10,44360.1484375,44360.1484375,44487.25,44004.55078125,44027.55078125,175300
2023-10-11,44516.8984375,44516.8984375,44710.55078125,44411.3984375,44554.8984375,213700
2023-10-12,44599.19921875,44599.19921875,44693.05078125,44530.05078125,44571.55078125,112100
2023-10-13,44287.94921875,44287.94921875,44563.05078125,44203.69921875,44322.05078125,169900
2023-10-16,44225.8984375,44225.8984375,44356.94921875,44044.3984375,44204.75,140400
2023-10-17,44409.5,44409.5,44589.8515625,44336.94921875,44589.80078125,120500
2023-10-18,43888.69921875,43888.69921875,44412.5,43861.44921875,44404.19921875,217200
2023-10-19,43754.5,43754.5,44058.80078125,43558.1015625,43616.75,156600
2023-10-20,43723.05078125,43723.05078125,43877.5,43567.44921875,43584.25,152400
2023-10-23,43151.19921875,43151.19921875,43831.30078125,43029.44921875,43822.69921875,201400
2023-10-25,42832.0,42832.0,43397.44921875,42758.3984375,43308.30078125,188300
2023-10-26,42280.1484375,42280.1484375,42716.19921875,42105.3984375,42708.3984375,307100
2023-10-27,42782.0,42782.0,42840.1484375,42482.75,42555.6015625,213900
2023-10-30,43039.1484375,43039.1484375,43112.5,42390.5,42721.3984375,189000
2023-10-31,42845.94921875,42845.94921875,43356.8515625,42797.1484375,43356.8515625,157400
2023-11-01,42700.94921875,42700.94921875,42815.1484375,42589.6484375,42694.25,145200
2023-11-02,43017.19921875,43017.19921875,43271.5,42796.44921875,43018.69921875,144700
2023-11-03,43318.25,43318.25,43416.1015625,43221.0,43318.30078125,124100
2023-11-06,43619.3984375,43619.3984375,43648.69921875,43415.19921875,43627.75,149900
2023-11-07,43737.8984375,43737.8984375,43799.3515625,43283.8515625,43598.8515625,198200
2023-11-08,43658.6484375,43658.6484375,43797.55078125,43547.75,43791.80078125,163400
2023-11-09,43683.6015625,43683.6015625,43876.75,43542.6484375,43626.1015625,108900
2023-11-10,43820.1015625,43820.1015625,43908.69921875,43504.94921875,43543.25,90000
2023-11-13,43891.25,43891.25,43970.75,43681.3984375,43915.1015625,169600
2023-11-15,44201.69921875,44201.69921875,44408.55078125,44164.55078125,44398.44921875,202500
2023-11-16,44161.55078125,44161.55078125,44420.94921875,44064.1484375,44251.69921875,144300
2023-11-17,43583.94921875,43583.94921875,43872.8515625,43513.8515625,43656.25,227400
2023-11-20,43584.94921875,43584.94921875,43724.0,43450.05078125,43591.5,124300
2023-11-21,43689.1484375,43689.1484375,43790.94921875,43586.44921875,43790.94921875,108200
2023-11-22,43449.6015625,43449.6015625,43692.5,43230.94921875,43663.6015625,150900
2023-11-23,43577.5,43577.5,43649.6484375,43451.3515625,43452.75,72300
2023-11-24,43769.1015625,43769.1015625,43806.5,43566.1484375,43607.3515625,96800
2023-11-28,43880.94921875,43880.94921875,43960.30078125,43739.80078125,43851.55078125,151200
2023-11-29,44566.44921875,44566.44921875,44630.3515625,44003.44921875,44081.75,152300
2023-11-30,44481.75,44481.75,44764.80078125,44254.6015625,44711.19921875,343200
2023-12-01,44814.19921875,44814.19921875,44951.1015625,44531.75,44580.1484375,204900
